סמל_ישוב,שם_ישוב,סמל_נפה,שם_נפה,סמל_מועצה_איזורית,שם_מועצה
0,לא רשום ,0,לא ידוע ,0,
1331,כמאנה ,24,עכו ,56,משגב
3826,שער שומרון ,73,טול כרם ,0,
1347,קצר א-סר ,62,באר שבע ,68,נווה מדבר
3400,חברון ,77,חברון ,0,
3777,סנסנה ,77,חברון ,78,הר חברון
963,אעצם (שבט) ,62,באר שבע ,0,
1220,אבירים ,24,עכו ,52,מעלה יוסף
958,אבו עבדון (שבט) ,62,באר שבע ,0,
1042,אבו עמאר (שבט) ,62,באר שבע ,0,
932,אבו עמרה (שבט) ,62,באר שבע ,0,
472,אבו גוש ,11,ירושלים ,0,
967,אבו ג'ווייעד (שבט) ,62,באר שבע ,0,
968,אבו קורינאת (שבט) ,62,באר שבע ,0,
1342,אבו קרינאת (יישוב) ,62,באר שבע ,68,נווה מדבר
966,אבו רובייעה (שבט) ,62,באר שבע ,0,
961,אבו רוקייק (שבט) ,62,באר שבע ,0,
473,אבו סנאן ,24,עכו ,0,
935,אבו סריחאן (שבט) ,62,באר שבע ,0,
1375,אבו תלול ,62,באר שבע ,68,נווה מדבר
1068,אדמית ,24,עכו ,4,מטה אשר
2035,עדנים ,42,פתח תקווה ,20,דרום השרון
1123,אדרת ,11,ירושלים ,26,מטה יהודה
113,אדירים ,23,עפולה ,8,הגלבוע
1199,עדי ,24,עכו ,9,עמק יזרעאל
3759,אדורה ,77,חברון ,78,הר חברון
959,אפיניש (שבט) ,62,באר שבע ,0,
313,אפק ,24,עכו ,4,מטה אשר
4301,אפיק ,29,גולן ,71,גולן
176,אפיקים ,22,כנרת ,6,עמק הירדן
7700,עפולה ,23,עפולה ,0,
794,עגור ,11,ירושלים ,26,מטה יהודה
1157,אחווה ,61,אשקלון ,33,באר טוביה
797,אחיעזר ,43,רמלה ,40,שדות דן
785,אחיהוד ,24,עכו ,4,מטה אשר
804,אחיסמך ,43,רמלה ,25,חבל מודיעין
850,אחיטוב ,41,השרון ,16,עמק חפר
821,אחוזם ,61,אשקלון ,50,לכיש
1330,אחוזת ברק ,23,עפולה ,9,עמק יזרעאל
7600,עכו ,24,עכו ,0,
1359,אל סייד ,62,באר שבע ,69,אל קסום
1316,אל-עריאן ,32,חדרה ,14,מנשה
1339,אל-עזי ,61,אשקלון ,35,יואב
3727,עלי זהב ,73,טול כרם ,72,שומרון
3750,אלפי מנשה ,73,טול כרם ,0,
1182,אלון הגליל ,23,עפולה ,9,עמק יזרעאל
3604,אלון שבות ,76,בית לחם ,76,גוש עציון
429,אלוני אבא ,23,עפולה ,9,עמק יזרעאל
4017,אלוני הבשן ,29,גולן ,71,גולן
868,אלוני יצחק ,32,חדרה ,14,מנשה
285,אלונים ,23,עפולה ,9,עמק יזרעאל
688,עלמה ,21,צפת ,2,מרום הגליל
1125,אלמגור ,22,כנרת ,6,עמק הירדן
3556,אלמוג ,75,ירדן )יריחו( ,74,מגילות ים המלח
3715,עלמון ,74,ראמאללה ,73,מטה בנימין
1146,עלומים ,62,באר שבע ,39,שדות נגב
1145,אלומה ,61,אשקלון ,34,שפיר
330,אלומות ,22,כנרת ,6,עמק הירדן
23,אמציה ,61,אשקלון ,50,לכיש
319,עמיר ,21,צפת ,1,הגליל העליון
1064,אמירים ,21,צפת ,2,מרום הגליל
385,עמיעד ,21,צפת ,1,הגליל העליון
318,עמיעוז ,62,באר שבע ,38,אשכול
3824,עמיחי ,74,ראמאללה ,73,מטה בנימין
779,עמינדב ,11,ירושלים ,26,מטה יהודה
773,עמיקם ,32,חדרה ,45,אלונה
1253,אמנון ,22,כנרת ,55,מבואות החרמון
708,עמקה ,24,עכו ,4,מטה אשר
1212,עמוקה ,21,צפת ,2,מרום הגליל
4012,אניעם ,29,גולן ,71,גולן
637,ערערה ,32,חדרה ,0,
1192,ערערה-בנגב ,62,באר שבע ,0,
2560,ערד ,62,באר שבע ,0,
1246,עראמשה ,24,עכו ,4,מטה אשר
701,ארבל ,22,כנרת ,3,הגליל התחתון
3598,ארגמן ,75,ירדן )יריחו( ,75,ערבות הירדן
3570,אריאל ,73,טול כרם ,0,
1335,ערב אל נעים ,24,עכו ,56,משגב
531,עראבה ,24,עכו ,0,
1324,ארסוף ,41,השרון ,19,חוף השרון
593,ערוגות ,61,אשקלון ,33,באר טוביה
960,אסד (שבט) ,62,באר שבע ,0,
3754,אספר ,77,חברון ,76,גוש עציון
591,עשרת ,44,רחובות ,32,גדרות
1152,אשלים ,62,באר שבע ,48,רמת נגב
70,אשדוד ,61,אשקלון ,0,
199,אשדות יעקב (איחוד) ,22,כנרת ,6,עמק הירדן
188,אשדות יעקב (מאוחד) ,22,כנרת ,6,עמק הירדן
1256,אשרת ,24,עכו ,4,מטה אשר
7100,אשקלון ,61,אשקלון ,0,
969,עטאוונה (שבט) ,62,באר שבע ,0,
3658,עטרת ,74,ראמאללה ,73,מטה בנימין
53,עתלית ,32,חדרה ,15,חוף הכרמל
965,אטרש (שבט) ,62,באר שבע ,0,
917,עצמון שגב ,24,עכו ,56,משגב
892,עבדון ,24,עכו ,52,מעלה יוסף
3786,אבנת ,75,ירדן )יריחו( ,74,מגילות ים המלח
679,אביאל ,32,חדרה ,45,אלונה
1070,אביעזר ,11,ירושלים ,26,מטה יהודה
819,אביגדור ,61,אשקלון ,33,באר טוביה
175,אביחיל ,41,השרון ,16,עמק חפר
2052,אביטל ,23,עפולה ,8,הגלבוע
1115,אביבים ,21,צפת ,2,מרום הגליל
4011,אבני איתן ,29,גולן ,71,גולן
3793,אבני חפץ ,73,טול כרם ,72,שומרון
1311,אבשלום ,62,באר שבע ,38,אשכול
1275,אבטליון ,24,עכו ,56,משגב
156,עיינות ,44,רחובות ,27,גן רווה
77,איילת השחר ,21,צפת ,1,הגליל העליון
711,עזריה ,43,רמלה ,30,גזר
565,אזור ,53,חולון ,0,
837,עזריאל ,41,השרון ,18,לב השרון
817,עזריקם ,61,אשקלון ,33,באר טוביה
2043,בחן ,41,השרון ,16,עמק חפר
94,בלפוריה ,23,עפולה ,9,עמק יזרעאל
6000,באקה אל-גרביה ,32,חדרה ,0,
823,בר גיורא ,11,ירושלים ,26,מטה יהודה
1191,בר יוחאי ,21,צפת ,2,מרום הגליל
667,ברעם ,21,צפת ,1,הגליל העליון
141,ברק ,23,עפולה ,8,הגלבוע
2038,ברקת ,42,פתח תקווה ,25,חבל מודיעין
3654,ברקן ,73,טול כרם ,72,שומרון
617,ברקאי ,32,חדרה ,14,מנשה
1326,"בסמ""ה ",32,חדרה ,0,
944,בסמת טבעון ,23,עפולה ,0,
3794,בת עין ,76,בית לחם ,76,גוש עציון
1323,בת הדר ,61,אשקלון ,36,חוף אשקלון
1319,בת חפר ,41,השרון ,16,עמק חפר
1361,בת חן ,41,השרון ,16,עמק חפר
33,בת שלמה ,32,חדרה ,15,חוף הכרמל
6200,בת ים ,53,חולון ,0,
389,בצרה ,41,השרון ,19,חוף השרון
1278,באר מילכה ,62,באר שבע ,48,רמת נגב
21,באר אורה ,62,באר שבע ,53,חבל אילות
9000,באר שבע ,62,באר שבע ,0,
155,באר טוביה ,61,אשקלון ,33,באר טוביה
2530,באר יעקב ,43,רמלה ,0,
399,בארי ,62,באר שבע ,38,אשכול
450,בארות יצחק ,42,פתח תקווה ,25,חבל מודיעין
697,בארותיים ,41,השרון ,16,עמק חפר
1376,באר גנים ,62,באר שבע ,36,חוף אשקלון
480,בית ג'ן ,24,עכו ,0,
712,בן עמי ,24,עכו ,4,מטה אשר
2013,בן שמן (מושב) ,43,רמלה ,25,חבל מודיעין
1084,בן שמן (כפר נוער) ,43,רמלה ,25,חבל מודיעין
760,בן זכאי ,44,רחובות ,29,חבל יבנה
685,בניה ,44,רחובות ,28,ברנר
448,בני עטרות ,42,פתח תקווה ,25,חבל מודיעין
1066,"בני עי""ש ",44,רחובות ,0,
6100,בני ברק ,52,רמת גן ,0,
592,בני דרום ,44,רחובות ,29,חבל יבנה
386,בני דרור ,41,השרון ,18,לב השרון
1363,בני נצרים ,62,באר שבע ,38,אשכול
588,בני ראם ,44,רחובות ,31,נחל שורק
4015,בני יהודה ,29,גולן ,71,גולן
418,בני ציון ,41,השרון ,19,חוף השרון
3612,בקעות ,75,ירדן )יריחו( ,75,ערבות הירדן
864,בקוע ,11,ירושלים ,26,מטה יהודה
3710,ברכה ,72,שכם ,72,שומרון
746,ברכיה ,61,אשקלון ,36,חוף אשקלון
428,ברור חיל ,61,אשקלון ,37,שער הנגב
2060,ברוש ,62,באר שבע ,41,בני שמעון
95,בית אלפא ,23,עפולה ,8,הגלבוע
604,בית עריף ,43,רמלה ,25,חבל מודיעין
3652,בית אריה ,74,ראמאללה ,0,
1076,בית ברל ,42,פתח תקווה ,20,דרום השרון
466,בית דגן ,43,רמלה ,0,
3574,בית אל ,74,ראמאללה ,0,
562,בית אלעזרי ,44,רחובות ,28,ברנר
756,בית עזרא ,61,אשקלון ,33,באר טוביה
571,בית גמליאל ,44,רחובות ,29,חבל יבנה
619,בית גוברין ,61,אשקלון ,35,יואב
3645,בית הערבה ,75,ירדן )יריחו( ,74,מגילות ים המלח
572,בית העמק ,24,עכו ,4,מטה אשר
723,בית הגדי ,62,באר שבע ,39,שדות נגב
373,בית הלוי ,41,השרון ,16,עמק חפר
159,בית חנן ,44,רחובות ,27,גן רווה
800,בית חנניה ,32,חדרה ,15,חוף הכרמל
242,בית השיטה ,23,עפולה ,8,הגלבוע
1050,בית חשמונאי ,43,רמלה ,30,גזר
877,בית חירות ,41,השרון ,16,עמק חפר
322,בית הלל ,21,צפת ,55,מבואות החרמון
2033,בית חלקיה ,44,רחובות ,31,נחל שורק
3575,בית חורון ,74,ראמאללה ,73,מטה בנימין
430,בית לחם הגלילית ,23,עפולה ,9,עמק יזרעאל
751,בית מאיר ,11,ירושלים ,26,מטה יהודה
784,בית נחמיה ,43,רמלה ,25,חבל מודיעין
672,בית נקופה ,11,ירושלים ,26,מטה יהודה
16,בית ניר ,61,אשקלון ,35,יואב
317,בית אורן ,32,חדרה ,15,חוף הכרמל
202,בית עובד ,44,רחובות ,27,גן רווה
598,בית קמה ,62,באר שבע ,41,בני שמעון
365,בית קשת ,22,כנרת ,3,הגליל התחתון
848,בית רבן ,44,רחובות ,29,חבל יבנה
1162,בית רימון ,23,עפולה ,3,הגליל התחתון
9200,בית שאן ,23,עפולה ,0,
248,בית שערים ,23,עפולה ,9,עמק יזרעאל
2610,בית שמש ,11,ירושלים ,0,
747,בית שקמה ,61,אשקלון ,36,חוף אשקלון
301,בית עוזיאל ,43,רמלה ,30,גזר
200,בית ינאי ,41,השרון ,16,עמק חפר
288,בית יהושע ,41,השרון ,19,חוף השרון
326,בית יצחק-שער חפר ,41,השרון ,16,עמק חפר
265,בית יוסף ,23,עפולה ,7,עמק המעיינות
710,בית זית ,11,ירושלים ,26,מטה יהודה
353,בית זיד ,23,עפולה ,9,עמק יזרעאל
143,בית זרע ,22,כנרת ,6,עמק הירדן
212,בית צבי ,32,חדרה ,15,חוף הכרמל
3780,ביתר עילית ,76,בית לחם ,0,
589,בצת ,24,עכו ,4,מטה אשר
483,בענה ,24,עכו ,0,
9800,בנימינה-גבעת עדה ,32,חדרה ,0,
998,ביר אל-מכסור ,24,עכו ,0,
1348,ביר הדאג' ,62,באר שבע ,68,נווה מדבר
368,ביריה ,21,צפת ,2,מרום הגליל
252,ביתן אהרן ,41,השרון ,16,עמק חפר
762,בטחה ,62,באר שבע ,42,מרחבים
234,ביצרון ,61,אשקלון ,33,באר טוביה
1368,בני דקלים ,61,אשקלון ,50,לכיש
3744,ברוכין ,73,טול כרם ,72,שומרון
482,בועיינה-נוג'ידאת ,25,נצרת ,0,
4001,בוקעאתא ,29,גולן ,0,
698,בורגתה ,41,השרון ,16,עמק חפר
559,בוסתן הגליל ,24,עכו ,4,מטה אשר
489,דבוריה ,23,עפולה ,0,
302,דפנה ,21,צפת ,1,הגליל העליון
475,דחי ,23,עפולה ,66,בוסתאן אל-מרג'
494,דאלית אל-כרמל ,31,חיפה ,0,
300,דליה ,23,עפולה ,13,מגידו
431,דלתון ,21,צפת ,2,מרום הגליל
303,דן ,21,צפת ,1,הגליל העליון
407,דברת ,23,עפולה ,9,עמק יזרעאל
62,דגניה א' ,22,כנרת ,6,עמק הירדן
79,דגניה ב' ,22,כנרת ,6,עמק הירדן
490,דייר אל-אסד ,24,עכו ,0,
492,דייר חנא ,24,עכו ,0,
493,דייר ראפאת ,11,ירושלים ,26,מטה יהודה
1317,דמיידה ,24,עכו ,56,משגב
1241,דקל ,62,באר שבע ,38,אשכול
1349,דריג'את ,62,באר שבע ,69,אל קסום
849,דבירה ,62,באר שבע ,41,בני שמעון
146,דבורה ,23,עפולה ,8,הגלבוע
2200,דימונה ,62,באר שבע ,0,
2063,דישון ,21,צפת ,55,מבואות החרמון
3747,דולב ,74,ראמאללה ,73,מטה בנימין
738,דור ,32,חדרה ,15,חוף הכרמל
336,דורות ,61,אשקלון ,37,שער הנגב
1067,"דוב""ב ",21,צפת ,2,מרום הגליל
3650,אפרת ,76,בית לחם ,0,
530,עיילבון ,22,כנרת ,0,
546,עין אל-אסד ,24,עכו ,2,מרום הגליל
1320,עין חוד ,32,חדרה ,15,חוף הכרמל
532,עין מאהל ,25,נצרת ,0,
521,עין נקובא ,11,ירושלים ,26,מטה יהודה
4502,עין קנייא ,29,גולן ,0,
514,עין ראפה ,11,ירושלים ,26,מטה יהודה
1309,אלעד ,42,פתח תקווה ,0,
3618,אלעזר ,76,בית לחם ,76,גוש עציון
4003,אל-רום ,29,גולן ,71,גולן
2600,אילת ,62,באר שבע ,0,
3765,עלי ,72,שכם ,73,מטה בנימין
4002,אלי-עד ,29,גולן ,71,גולן
1365,אליאב ,61,אשקלון ,50,לכיש
1248,אליפז ,62,באר שבע ,53,חבל אילות
730,אליפלט ,21,צפת ,55,מבואות החרמון
841,אלישמע ,42,פתח תקווה ,20,דרום השרון
294,אילון ,24,עכו ,4,מטה אשר
3579,אלון מורה ,72,שכם ,72,שומרון
1126,אילות ,62,באר שבע ,53,חבל אילות
3560,אלקנה ,73,טול כרם ,0,
603,אלקוש ,24,עכו ,52,מעלה יוסף
41,אליכין ,41,השרון ,0,
682,אליקים ,23,עפולה ,13,מגידו
204,אלישיב ,41,השרון ,16,עמק חפר
772,אמונים ,61,אשקלון ,33,באר טוביה
687,עין איילה ,32,חדרה ,15,חוף הכרמל
436,עין דור ,23,עפולה ,9,עמק יזרעאל
2042,עין גדי ,62,באר שבע ,51,תמר
273,עין גב ,22,כנרת ,6,עמק הירדן
1240,עין הבשור ,62,באר שבע ,38,אשכול
367,עין העמק ,23,עפולה ,13,מגידו
167,עין החורש ,41,השרון ,16,עמק חפר
289,עין המפרץ ,24,עכו ,4,מטה אשר
383,"עין הנצי""ב ",23,עפולה ,7,עמק המעיינות
89,עין חרוד (איחוד) ,23,עפולה ,8,הגלבוע
82,עין חרוד (מאוחד) ,23,עפולה ,8,הגלבוע
676,עין השלושה ,62,באר שבע ,38,אשכול
270,עין השופט ,23,עפולה ,13,מגידו
1053,עין חצבה ,62,באר שבע ,51,תמר
74,עין הוד ,32,חדרה ,15,חוף הכרמל
223,עין עירון ,32,חדרה ,14,מנשה
1056,"עין כרם-בי""ס חקלאי ",11,ירושלים ,26,מטה יהודה
426,עין כרמל ,32,חדרה ,15,חוף הכרמל
880,עין שריד ,41,השרון ,18,לב השרון
139,עין שמר ,32,חדרה ,14,מנשה
1251,עין תמר ,62,באר שבע ,51,תמר
157,עין ורד ,41,השרון ,18,לב השרון
813,עין יעקב ,24,עכו ,52,מעלה יוסף
806,עין יהב ,62,באר שבע ,54,הערבה התיכונה
4503,עין זיוון ,29,גולן ,71,גולן
622,עין צורים ,61,אשקלון ,34,שפיר
871,עינת ,42,פתח תקווה ,20,דרום השרון
3712,ענב ,73,טול כרם ,72,שומרון
714,ארז ,61,אשקלון ,37,שער הנגב
71,אשבול ,62,באר שבע ,42,מרחבים
2021,אשל הנשיא ,62,באר שבע ,42,מרחבים
1188,אשחר ,24,עכו ,56,משגב
3722,אשכולות ,77,חברון ,78,הר חברון
740,אשתאול ,11,ירושלים ,26,מטה יהודה
37,איתן ,61,אשקלון ,34,שפיר
886,איתנים ,11,ירושלים ,26,מטה יהודה
1298,אתגר ,24,עכו ,56,משגב
1081,אבן מנחם ,24,עכו ,52,מעלה יוסף
783,אבן ספיר ,11,ירושלים ,26,מטה יהודה
400,אבן שמואל ,61,אשקלון ,34,שפיר
182,אבן יהודה ,41,השרון ,0,
369,גלעד (אבן יצחק) ,23,עפולה ,13,מגידו
376,עברון ,24,עכו ,4,מטה אשר
716,אייל ,42,פתח תקווה ,20,דרום השרון
3778,עץ אפרים ,73,טול כרם ,72,שומרון
1149,עזר ,61,אשקלון ,33,באר טוביה
328,עזוז ,62,באר שבע ,48,רמת נגב
535,פסוטה ,24,עכו ,0,
537,פוריידיס ,32,חדרה ,0,
842,געש ,41,השרון ,19,חוף השרון
463,געתון ,24,עכו ,4,מטה אשר
145,גדיש ,23,עפולה ,8,הגלבוע
35,גדות ,21,צפת ,1,הגליל העליון
393,גלאון ,61,אשקלון ,35,יואב
1072,גן הדרום ,44,רחובות ,32,גדרות
225,גן השומרון ,32,חדרה ,14,מנשה
239,גן חיים ,42,פתח תקווה ,20,דרום השרון
1274,גן נר ,23,עפולה ,8,הגלבוע
144,גן שלמה ,44,רחובות ,28,ברנר
72,גן שמואל ,32,חדרה ,14,מנשה
311,גן שורק ,44,רחובות ,27,גן רווה
166,גן יבנה ,44,רחובות ,0,
734,גן יאשיה ,41,השרון ,16,עמק חפר
218,גני עם ,42,פתח תקווה ,20,דרום השרון
1103,גני הדר ,43,רמלה ,30,גזר
3823,גני מודיעין ,74,ראמאללה ,73,מטה בנימין
1371,גני טל ,44,רחובות ,31,נחל שורק
229,גני תקווה ,42,פתח תקווה ,0,
862,גני יוחנן ,44,רחובות ,30,גזר
836,גנות ,43,רמלה ,40,שדות דן
549,גנות הדר ,41,השרון ,18,לב השרון
128,גת רימון ,42,פתח תקווה ,20,דרום השרון
340,גת (קיבוץ) ,61,אשקלון ,35,יואב
457,גזית ,23,עפולה ,9,עמק יזרעאל
706,גיאה ,61,אשקלון ,36,חוף אשקלון
853,גאליה ,44,רחובות ,27,גן רווה
872,גאולי תימן ,41,השרון ,16,עמק חפר
379,גאולים ,41,השרון ,18,לב השרון
2550,גדרה ,44,רחובות ,0,
39,גפן ,11,ירושלים ,26,מטה יהודה
346,גליל ים ,51,תל אביב ,19,חוף השרון
1129,גרופית ,62,באר שבע ,53,חבל אילות
305,גשר ,22,כנרת ,7,עמק המעיינות
574,גשר הזיו ,24,עכו ,4,מטה אשר
4022,גשור ,29,גולן ,71,גולן
86,גבע ,23,עפולה ,8,הגלבוע
683,גבע כרמל ,32,חדרה ,15,חוף הכרמל
3763,גבע בנימין ,74,ראמאללה ,73,מטה בנימין
1344,גבעות בר ,62,באר שבע ,41,בני שמעון
342,גברעם ,61,אשקלון ,36,חוף אשקלון
133,גבת ,23,עפולה ,9,עמק יזרעאל
424,גבים ,61,אשקלון ,37,שער הנגב
352,גבולות ,62,באר שבע ,38,אשכול
370,גזר ,43,רמלה ,30,גזר
4501,ע'ג'ר ,29,גולן ,0,
196,גיבתון ,44,רחובות ,28,ברנר
442,גדעונה ,23,עפולה ,8,הגלבוע
736,גילת ,62,באר שבע ,42,מרחבים
3606,גלגל ,75,ירדן )יריחו( ,75,ערבות הירדן
1204,גילון ,24,עכו ,56,משגב
745,גמזו ,43,רמלה ,25,חבל מודיעין
863,גינתון ,43,רמלה ,25,חבל מודיעין
92,גיניגר ,23,עפולה ,9,עמק יזרעאל
262,גינוסר ,22,כנרת ,6,עמק הירדן
1206,גיתה ,24,עכו ,52,מעלה יוסף
3613,גיתית ,75,ירדן )יריחו( ,75,ערבות הירדן
1293,גבעת אבני ,22,כנרת ,3,הגליל התחתון
147,גבעת ברנר ,44,רחובות ,28,ברנר
1288,גבעת אלה ,23,עפולה ,9,עמק יזרעאל
870,גבעת השלושה ,42,פתח תקווה ,20,דרום השרון
2018,גבעת חיים (איחוד) ,41,השרון ,16,עמק חפר
173,גבעת חיים (מאוחד) ,41,השרון ,16,עמק חפר
207,"גבעת ח""ן ",42,פתח תקווה ,20,דרום השרון
802,"גבעת כ""ח ",42,פתח תקווה ,25,חבל מודיעין
360,"גבעת ניל""י ",32,חדרה ,45,אלונה
703,גבעת עוז ,23,עפולה ,13,מגידו
1077,גבעת שפירא ,41,השרון ,16,עמק חפר
566,גבעת שמש ,11,ירושלים ,26,מטה יהודה
681,גבעת שמואל ,42,פתח תקווה ,0,
787,גבעת יערים ,11,ירושלים ,26,מטה יהודה
919,גבעת ישעיהו ,11,ירושלים ,26,מטה יהודה
4021,גבעת יואב ,29,גולן ,71,גולן
3730,גבעת זאב ,74,ראמאללה ,0,
6300,גבעתיים ,52,רמת גן ,0,
793,גבעתי ,61,אשקלון ,33,באר טוביה
2014,גבעולים ,62,באר שבע ,39,שדות נגב
3644,גבעון החדשה ,74,ראמאללה ,73,מטה בנימין
1362,גבעות עדן ,11,ירושלים ,26,מטה יהודה
1043,גיזו ,11,ירושלים ,26,מטה יהודה
852,גונן ,21,צפת ,1,הגליל העליון
755,גורן ,24,עכו ,52,מעלה יוסף
1219,גורנות הגליל ,24,עכו ,52,מעלה יוסף
675,הבונים ,32,חדרה ,15,חוף הכרמל
4026,חד-נס ,29,גולן ,71,גולן
191,הדר עם ,41,השרון ,16,עמק חפר
6500,חדרה ,32,חדרה ,0,
618,חדיד ,43,רמלה ,25,חבל מודיעין
363,חפץ חיים ,44,רחובות ,31,נחל שורק
3764,חגי ,77,חברון ,78,הר חברון
717,חגור ,42,פתח תקווה ,20,דרום השרון
356,הגושרים ,21,צפת ,1,הגליל העליון
434,החותרים ,32,חדרה ,15,חוף הכרמל
4000,חיפה ,31,חיפה ,0,
1272,חלוץ ,24,עכו ,56,משגב
